MP,Party,Intervention,votes,Written_question,Activity
Mark Pawsey,Conservative,16,23,0,0.10356530889058796
Stephanie Peacock,Labour,8,22,40,0.6887499994186017
Teresa Pearce,Labour,1,19,5,-0.8702849449128742
Mike Penning,Conservative,12,23,9,0.29602531626632766
Matthew Pennycook,Labour,10,22,14,0.1327544225553537
John Penrose,Conservative,12,23,1,0.12494975415455906
Andrew Percy,Conservative,23,23,5,0.2104875352104434
Toby Perkins,Labour,18,22,36,0.6032122183627175
Claire Perry,Conservative,84,23,0,0.10356530889058796
Jess Phillips,Labour,4,17,17,-1.15405784180688
Bridget Phillipson,Labour,23,20,31,-0.0440962480187968
Chris Philp,Conservative,19,23,0,0.10356530889058796
Laura Pidcock,Labour,15,22,0,-0.16662781114024144
Christopher Pincher,Conservative,0,23,0,0.10356530889058796
Jo Platt,Labour (Co-op),6,22,1,-0.14524336587627035
Luke Pollard,Labour (Co-op),30,22,53,0.9667477878502259
Dr Dan Poulter,Conservative,9,23,0,0.10356530889058796
Stephen Pound,Labour,20,22,2,-0.12385892061229925
Rebecca Pow,Conservative,48,23,1,0.12494975415455906
Lucy Powell,Labour (Co-op),41,21,32,0.24748131727600373
Victoria Prentis,Conservative,18,23,0,0.10356530889058796
Mr Mark Prisk,Conservative,4,23,2,0.14633419941853015
Mark Pritchard,Conservative,14,20,3,-0.642860715409987
Tom Pursglove,Conservative,41,23,1,0.12494975415455906
Jeremy Quin,Conservative,28,23,0,0.10356530889058796
Will Quince,Conservative,17,23,9,0.29602531626632766
Yasmin Qureshi,Labour,4,18,4,-1.161862510207675
Dominic Raab,Conservative,29,23,0,0.10356530889058796
Faisal Rashid,Labour,8,22,0,-0.16662781114024144
Angela Rayner,Labour,56,17,188,2.5026822983321746
John Redwood,Conservative,59,23,13,0.38156309732221205
Mr Steve Reed,Labour (Co-op),3,22,47,0.8384411162663994
Christina Rees,Labour (Co-op),2,17,16,-1.1754422870708512
Mr Jacob Rees-Mogg,Conservative,41,23,3,0.1677186446825012
Ellie Reeves,Labour,19,22,11,0.06860108676344046
Rachel Reeves,Labour,19,22,72,1.3730522478656764
Emma Reynolds,Labour,0,9,30,-3.0376050136218913
Jonathan Reynolds,Labour (Co-op),18,22,12,0.08998553202741152
Ms Marie Rimmer,Labour,7,22,2,-0.12385892061229925
Mr Laurence Robertson,Conservative,16,23,40,0.9589431194494311
Gavin Robinson,Democratic Unionist Party,9,20,14,-0.40763181750630517
Mary Robinson,Conservative,10,23,2,0.14633419941853015
Mr Geoffrey Robinson,Labour,14,21,0,-0.4368209311710709
Matt Rodda,Labour,4,22,4,-0.08109003008435711
Andrew Rosindell,Conservative,13,21,53,0.6965546678193965
Douglas Ross,Conservative,15,23,7,0.2532564257383855
Danielle Rowley,Labour,4,22,4,-0.08109003008435711
Lee Rowley,Conservative,3,23,0,0.10356530889058796
Chris Ruane,Labour,36,22,150,3.041038978455421
Amber Rudd,Conservative,87,23,0,0.10356530889058796
Lloyd Russell-Moyle,Labour (Co-op),33,22,6,-0.038321139556414974
David Rutley,Conservative,0,23,0,0.10356530889058796
Joan Ryan,Labour,22,22,33,0.5390588825708043
Antoinette Sandbach,Conservative,35,23,12,0.36017865205824096
Liz Saville Roberts,Plaid Cymru,25,16,229,3.10925143412416
Paul Scully,Conservative,16,23,3,0.1677186446825012
Mr Bob Seely,Conservative,12,23,13,0.38156309732221205
Andrew Selous,Conservative,25,23,6,0.23187198047441443
Naz Shah,Labour,5,19,11,-0.7419782733290478
Jim Shannon,Democratic Unionist Party,117,20,229,4.190023914247478
Grant Shapps,Conservative,0,23,7,0.2532564257383855
Alok Sharma,Conservative,81,23,0,0.10356530889058796
Mr Virendra Sharma,Labour,5,18,9,-1.0549402838878195
Mr Barry Sheerman,Labour (Co-op),39,23,59,1.3652475794648817
Alec Shelbrooke,Conservative,14,23,2,0.14633419941853015
Tommy Sheppard,Scottish National Party,22,21,26,0.11917464569217723
Paula Sherriff,Labour,31,22,19,0.2396766488752091
